"","formula","exit_status.LTL2SDBA","exit_status.LTL2SDBA+Opt","exit_status.S+S","exit_status.S+SOpt","exit_status.ltl2ldba","exit_status.ltl2ldbaOpt","exit_code.LTL2SDBA","exit_code.LTL2SDBA+Opt","exit_code.S+S","exit_code.S+SOpt","exit_code.ltl2ldba","exit_code.ltl2ldbaOpt","time.LTL2SDBA","time.LTL2SDBA+Opt","time.S+S","time.S+SOpt","time.ltl2ldba","time.ltl2ldbaOpt","states.LTL2SDBA","states.LTL2SDBA+Opt","states.S+S","states.S+SOpt","states.ltl2ldba","states.ltl2ldbaOpt","edges.LTL2SDBA","edges.LTL2SDBA+Opt","edges.S+S","edges.S+SOpt","edges.ltl2ldba","edges.ltl2ldbaOpt","transitions.LTL2SDBA","transitions.LTL2SDBA+Opt","transitions.S+S","transitions.S+SOpt","transitions.ltl2ldba","transitions.ltl2ldbaOpt","acc.LTL2SDBA","acc.LTL2SDBA+Opt","acc.S+S","acc.S+SOpt","acc.ltl2ldba","acc.ltl2ldbaOpt","scc.LTL2SDBA","scc.LTL2SDBA+Opt","scc.S+S","scc.S+SOpt","scc.ltl2ldba","scc.ltl2ldbaOpt","nondet_states.LTL2SDBA","nondet_states.LTL2SDBA+Opt","nondet_states.S+S","nondet_states.S+SOpt","nondet_states.ltl2ldba","nondet_states.ltl2ldbaOpt","nondet_aut.LTL2SDBA","nondet_aut.LTL2SDBA+Opt","nondet_aut.S+S","nondet_aut.S+SOpt","nondet_aut.ltl2ldba","nondet_aut.ltl2ldbaOpt","complete_aut.LTL2SDBA","complete_aut.LTL2SDBA+Opt","complete_aut.S+S","complete_aut.S+SOpt","complete_aut.ltl2ldba","complete_aut.ltl2ldbaOpt","product_states.LTL2SDBA","product_states.LTL2SDBA+Opt","product_states.S+S","product_states.S+SOpt","product_states.ltl2ldba","product_states.ltl2ldbaOpt","product_transitions.LTL2SDBA","product_transitions.LTL2SDBA+Opt","product_transitions.S+S","product_transitions.S+SOpt","product_transitions.ltl2ldba","product_transitions.ltl2ldbaOpt","product_scc.LTL2SDBA","product_scc.LTL2SDBA+Opt","product_scc.S+S","product_scc.S+SOpt","product_scc.ltl2ldba","product_scc.ltl2ldbaOpt"
"44","!((G(F(p1))) <-> (G(F(p0))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0114978,0.0155429,0.021493,0.0250862,0.864331,1.02286,22,7,3,3,3,3,94,15,7,7,7,7,100,20,10,10,16,16,1,1,1,1,1,1,12,5,3,3,3,3,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4171,1394,600,600,600,600,90615,20626,10339,10339,16566,16566,802,403,3,3,3,3
"45","!((G(p0)) U (p1))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0032917,0.0146923,0.0190159,0.0235592,0.842319,0.869981,12,7,4,4,5,4,26,15,8,8,11,7,42,25,14,14,18,13,1,1,1,1,1,1,9,5,4,4,5,4,2,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,2395,1398,600,600,800,601,42766,25572,12312,12312,15363,10278,219,210,10,10,11,4
"46","!((G(p0)) | ((p0) U (p1)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00305935,0.00918558,0.0139049,0.0213391,0.808517,0.811616,3,2,2,2,2,2,5,3,3,3,3,3,14,6,6,6,6,6,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,600,400,400,400,400,400,14971,6435,6435,6435,6435,6435,5,4,4,4,4,4
"47","!((G(p0)) | (G(p2)) | ((G((p0) | (F(G(p1))))) & (G((p2) | (F(G(!(p1))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00659891,0.0264658,0.0208745,0.0227909,1.08154,1.06896,19,10,4,4,6,5,89,29,9,9,21,15,224,108,16,16,84,50,1,1,1,1,1,1,11,8,4,4,6,5,9,4,0,0,4,3,1,1,0,0,1,1,1,1,1,1,1,1,3596,2000,800,800,1200,1000,108023,56055,16644,16644,43598,25960,12,407,5,5,7,6
"48","!((G(p0)) | (G(p2)) | ((G((p0) | (G(F(p1))))) & (G((p2) | (G(F(!(p1))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0101442,0.0196017,0.0240525,0.0291179,1.10683,1.00637,15,8,6,6,6,6,67,21,19,19,19,19,180,66,58,58,76,68,1,1,1,1,1,1,15,8,6,6,6,6,11,4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,0,0,2800,1599,1199,1199,1199,1199,82828,34218,30052,30052,39296,35130,17,406,6,6,6,6
"49","!((X(p0)) & (G(((!(p0)) & (X(p0))) -> (X(X(p0))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00319834,0.010489,0.0204776,0.0239987,1.00955,0.989007,6,6,6,6,6,6,10,11,11,11,11,11,16,12,12,12,12,12,1,1,1,1,1,1,6,4,4,4,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1001,819,819,819,819,819,23305,17312,17312,17312,17312,17312,404,21,21,21,21,21
"50","!((p0) & (X(G(!(p0)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00336545,0.00936893,0.0168753,0.0207427,0.793828,0.818224,4,3,3,3,3,3,7,5,5,5,5,5,10,6,6,6,6,6,1,1,1,1,1,1,4,3,3,3,3,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,601,401,401,401,401,401,16717,8367,8367,8367,8367,8367,4,3,3,3,3,3
"51","!((p0) R ((p0) | (p1)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00379819,0.00949171,0.0129742,0.0214863,0.836297,0.793504,3,2,2,2,2,2,5,3,3,3,3,3,14,6,6,6,6,6,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,599,399,399,399,399,399,14546,6222,6222,6222,6222,6222,5,4,4,4,4,4
"52","!((p0) U ((p1) & (G(p2))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0044543,0.0134875,0.0169178,0.0217603,0.892971,0.897961,14,7,4,4,6,6,46,18,11,11,19,17,135,64,32,32,56,52,1,1,1,1,1,1,8,5,3,3,4,4,3,1,0,0,2,1,1,1,0,0,1,1,0,1,1,1,1,1,2797,1399,799,799,1199,1199,68566,32531,16255,16255,28518,26462,207,204,3,3,4,4
"53","!((p0) U ((p1) & (X((p2) & (F((p3) & (X(F((p4) & (X(F((p5) & (X(F(p6)))))))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,3.43309,3.46319,0.0216067,0.0260174,1.12777,1.26419,233,15,8,8,12,8,1184,33,21,21,37,21,25368,1808,960,960,1408,960,1,1,1,1,1,1,190,13,7,7,11,7,11,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45123,2996,1596,1596,2390,1596,802742,59205,31346,31346,45879,31346,10469,609,205,205,216,205
