"","formula","exit_status.LTL2SDBA","exit_status.LTL2SDBA+Opt","exit_status.S+S","exit_status.S+SOpt","exit_status.ltl2ldba","exit_status.ltl2ldbaOpt","exit_code.LTL2SDBA","exit_code.LTL2SDBA+Opt","exit_code.S+S","exit_code.S+SOpt","exit_code.ltl2ldba","exit_code.ltl2ldbaOpt","time.LTL2SDBA","time.LTL2SDBA+Opt","time.S+S","time.S+SOpt","time.ltl2ldba","time.ltl2ldbaOpt","states.LTL2SDBA","states.LTL2SDBA+Opt","states.S+S","states.S+SOpt","states.ltl2ldba","states.ltl2ldbaOpt","edges.LTL2SDBA","edges.LTL2SDBA+Opt","edges.S+S","edges.S+SOpt","edges.ltl2ldba","edges.ltl2ldbaOpt","transitions.LTL2SDBA","transitions.LTL2SDBA+Opt","transitions.S+S","transitions.S+SOpt","transitions.ltl2ldba","transitions.ltl2ldbaOpt","acc.LTL2SDBA","acc.LTL2SDBA+Opt","acc.S+S","acc.S+SOpt","acc.ltl2ldba","acc.ltl2ldbaOpt","scc.LTL2SDBA","scc.LTL2SDBA+Opt","scc.S+S","scc.S+SOpt","scc.ltl2ldba","scc.ltl2ldbaOpt","nondet_states.LTL2SDBA","nondet_states.LTL2SDBA+Opt","nondet_states.S+S","nondet_states.S+SOpt","nondet_states.ltl2ldba","nondet_states.ltl2ldbaOpt","nondet_aut.LTL2SDBA","nondet_aut.LTL2SDBA+Opt","nondet_aut.S+S","nondet_aut.S+SOpt","nondet_aut.ltl2ldba","nondet_aut.ltl2ldbaOpt","complete_aut.LTL2SDBA","complete_aut.LTL2SDBA+Opt","complete_aut.S+S","complete_aut.S+SOpt","complete_aut.ltl2ldba","complete_aut.ltl2ldbaOpt","product_states.LTL2SDBA","product_states.LTL2SDBA+Opt","product_states.S+S","product_states.S+SOpt","product_states.ltl2ldba","product_states.ltl2ldbaOpt","product_transitions.LTL2SDBA","product_transitions.LTL2SDBA+Opt","product_transitions.S+S","product_transitions.S+SOpt","product_transitions.ltl2ldba","product_transitions.ltl2ldbaOpt","product_scc.LTL2SDBA","product_scc.LTL2SDBA+Opt","product_scc.S+S","product_scc.S+SOpt","product_scc.ltl2ldba","product_scc.ltl2ldbaOpt"
"64","!(G(!(p0)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00241754,0.0160815,0.0147348,0.028149,0.865145,0.825978,3,2,2,2,2,2,5,3,3,3,3,3,8,4,4,4,4,4,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16528,8264,8264,8264,8264,8264,3,2,2,2,2,2
"65","!(G((!(p0)) & (!(p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00409351,0.00964962,0.0167504,0.0216784,0.976817,0.842257,3,2,2,2,2,2,5,3,3,3,3,3,16,8,8,8,8,8,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16592,8296,8296,8296,8296,8296,4,3,3,3,3,3
"66","!(G((!(p0)) -> (!((p1) & (p2) & (p3) & (p4) & (p5)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0236609,0.0429362,0.0146846,0.0207683,1.38393,1.05015,3,2,2,2,2,2,5,3,3,3,3,3,256,128,128,128,128,128,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16180,8090,8090,8090,8090,8090,3,2,2,2,2,2
"67","!(G((!(p0)) -> (((p1) & (p2) & (p3) & (p4)) -> (!(p5)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0285106,0.0364831,0.0189814,0.0221301,1.33841,1.02385,3,2,2,2,2,2,5,3,3,3,3,3,256,128,128,128,128,128,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16776,8388,8388,8388,8388,8388,3,2,2,2,2,2
"68","!(G((!(p0)) -> ((p1) <-> (!(p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00326963,0.0134752,0.0190112,0.0201776,1.18709,1.02972,3,2,2,2,2,2,5,3,3,3,3,3,32,16,16,16,16,16,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16812,8406,8406,8406,8406,8406,3,2,2,2,2,2
"69","!(G((!(p0)) -> (F(p0))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00353174,0.0196061,0.0170146,0.0218692,1.02309,0.974763,3,3,2,2,2,2,5,4,3,3,3,3,6,5,4,4,5,5,1,1,1,1,1,1,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,600,600,400,400,400,400,12787,10652,8517,8517,10629,10629,3,202,2,2,2,2
"70","!(G((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X((!(p0)) | (X(!(p0)))))))))))))))))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00362498,0.0209392,0.0222342,0.0254688,1.02124,1.09941,14,13,13,13,13,13,16,25,25,25,25,25,20,26,26,26,26,26,1,1,1,1,1,1,14,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,2800,2600,2600,2600,2600,2600,41016,54405,54405,54405,54405,54405,2203,2,2,2,2,2
"71","!(G(((!((p1) <-> (X(p1)))) | (!((p0) <-> (X(p0)))) | (!((p2) <-> (X(p2)))) | (!((p3) <-> (X(p3))))) -> ((X(!(p4))) & (X((!((!((p1) <-> (X(p1)))) | (!((p0) <-> (X(p0)))) | (!((p2) <-> (X(p2)))) | (!((p3) <-> (X(p3)))))) U (p4))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.13917,0.17848,0.0481756,0.0746145,1.41018,1.49257,77,53,21,21,35,35,589,484,103,102,594,354,1920,1600,880,784,1360,1344,1,1,1,1,1,1,45,21,21,21,4,4,11,10,11,10,32,16,1,1,1,1,1,1,0,0,0,0,0,0,9890,6706,4193,4193,3719,3719,190269,149245,116969,104655,94629,93557,6372,3397,3198,3397,556,556
"72","!(G(((!(p0)) & ((p1) | (p2) | (p3) | (p4))) -> ((!(p5)) <-> (p6))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0913276,0.104504,0.0227185,0.0266548,1.30996,1.03891,3,2,2,2,2,2,5,3,3,3,3,3,512,256,256,256,256,256,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16616,8308,8308,8308,8308,8308,3,2,2,2,2,2
"73","!(G(((!(p0)) & ((p1) | (p2) | (p3))) -> (p4)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00737141,0.0218395,0.014058,0.0216288,0.930084,0.95881,3,2,2,2,2,2,5,3,3,3,3,3,128,64,64,64,64,64,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16652,8326,8326,8326,8326,8326,3,2,2,2,2,2
"74","!(G(((!(p0)) & (X(p0))) -> (X((!((!(p0)) & (X(p0)))) U ((!(p1)) & (X(p1)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.011504,0.0138748,0.0253944,0.0270093,1.19,1.36,18,14,10,10,16,9,57,39,19,18,62,27,75,54,40,36,76,37,1,1,1,1,1,1,13,9,10,10,11,4,5,4,4,3,6,2,1,1,1,1,1,1,0,0,0,0,0,0,3596,2799,2000,2000,3193,1797,79407,57200,42306,38082,80192,38995,611,805,607,806,608,4
"75","!(G(((!(p0)) & (X(p0))) -> (X((G(p0)) | ((p0) U (p1))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00321022,0.0111166,0.0189625,0.0221571,1.02321,1.03562,5,4,4,4,9,5,8,10,10,10,24,12,21,16,16,16,33,19,1,1,1,1,1,1,5,2,2,2,7,3,2,0,0,0,3,1,1,0,0,0,1,1,0,1,1,1,0,0,999,799,799,799,1796,999,21607,16488,16488,16488,33826,19557,207,2,2,2,409,4
"76","!(G(((!(p0)) & (X(p0))) -> (X((p0) U ((p0) & (!(p1)) & (X((p0) & (p1) & ((p0) U ((p0) & (!(p1)) & (X((p0) & (p1))))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0120879,0.0161099,0.0399703,0.0232823,1.16828,1.91,28,14,7,7,41,16,94,40,16,16,140,47,137,64,27,27,196,70,1,1,1,1,1,1,22,10,7,7,30,6,8,5,1,1,6,5,1,1,1,1,1,1,0,0,0,0,0,0,5568,2788,1394,1394,8152,3185,137289,64398,27210,27210,197274,70433,1027,415,212,212,1633,404
"77","!(G(((!(p0)) & (X(p0))) -> (X((p0) U ((p0) & (!(p1)) & (X((p0) & (p1))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00498082,0.0221643,0.0226676,0.0277279,1.15932,1.31948,12,8,5,5,12,7,34,19,10,10,39,18,57,37,19,19,58,29,1,1,1,1,1,1,11,7,5,5,8,3,6,3,1,1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,2388,1594,996,996,2390,1394,58760,38236,19668,19668,60072,30030,612,408,207,207,409,3
"78","!(G(((!(p0)) & (p1) & (!(p2)) & (!(p3)) & (!(p4))) -> (F((!(p5)) & (!(p6)) & (!(p7)) & (!(p8))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,1.17315,1.12812,0.0233449,0.0547107,1.30476,1.51602,3,3,2,2,4,4,5,4,3,3,11,9,1967,1487,1007,1007,3008,2063,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,600,502,400,400,800,800,16348,10437,8378,8378,24966,17140,3,104,2,2,3,202
"79","!(G(((!(p0)) & (p1)) -> (X(p2))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0031893,0.0108992,0.0194778,0.0231608,1.15717,0.911327,4,3,3,3,3,3,6,6,6,6,6,6,38,24,24,24,24,24,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,800,600,600,600,600,600,20214,12762,12762,12762,12762,12762,203,2,2,2,2,2
"80","!(G(((X(p0)) -> (p0)) -> (((p1) -> (X(p1))) & ((!(p1)) -> (X(!(p1)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00342897,0.0156178,0.0185939,0.0243136,0.952895,0.964895,7,6,6,6,6,6,12,19,19,19,19,19,26,24,24,24,24,24,1,1,1,1,1,1,7,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1395,996,996,996,996,996,26785,20542,20542,20542,20542,20542,798,3,3,3,3,3
"81","!(G(((X(p0)) -> (p0)) -> ((p1) <-> (X(p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00360699,0.0104564,0.0187976,0.0217831,0.989191,0.995587,7,6,6,6,6,6,12,19,19,19,19,19,26,24,24,24,24,24,1,1,1,1,1,1,7,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1392,993,993,993,993,993,27307,20940,20940,20940,20940,20940,795,3,3,3,3,3
"82","!(G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U ((p1) | (p3)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00462205,0.0180775,0.0199721,0.0220719,0.994609,1.03188,5,4,4,4,4,4,10,9,9,9,9,9,86,64,64,64,64,64,1,1,1,1,1,1,5,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,978,778,778,778,778,778,22758,16580,16580,16580,16580,16580,20,3,3,3,3,3
"83","!(G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00372658,0.0105203,0.0201975,0.0225869,1.30231,1.12016,5,4,4,4,4,4,10,9,9,9,9,9,46,32,32,32,32,32,1,1,1,1,1,1,5,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1000,800,800,800,800,800,24040,16784,16784,16784,16784,16784,5,3,3,3,3,3
"84","!(G(((p0) & (!(p1)) & (F(p1))) -> (((p2) -> ((!(p1)) U ((!(p1)) & (p3)))) U (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00468597,0.0240239,0.0207107,0.0240346,1.41121,1.22899,5,4,4,4,9,5,10,10,10,10,29,12,91,64,64,64,164,84,1,1,1,1,1,1,5,2,2,2,6,3,3,0,0,0,3,1,1,0,0,0,1,1,0,1,1,1,0,0,1000,800,800,800,1800,1000,23669,16584,16584,16584,42573,21747,5,2,2,2,216,3
"85","!(G(((p0) & (!(p1)) & (F(p1))) -> ((p2) U (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.003808,0.0217396,0.0219077,0.0240546,1.03789,1.29688,5,4,4,4,4,4,10,9,9,9,9,9,46,32,32,32,32,32,1,1,1,1,1,1,5,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1000,800,800,800,800,800,23960,16692,16692,16692,16692,16692,7,3,3,3,3,3
"86","!(G(((p0) & (!(p1)) & (X(p1)) & (X(p0))) -> ((p2) -> (X(p3)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00536181,0.0206572,0.019875,0.026337,0.927499,0.982626,4,3,3,3,3,3,6,6,6,6,6,6,68,48,48,48,48,48,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,783,583,583,583,583,583,17717,12190,12190,12190,12190,12190,186,2,2,2,2,2
"87","!(G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00374001,0.0105032,0.0178832,0.0223477,1.37715,1.45715,7,5,3,3,5,5,12,8,5,5,13,11,59,42,23,23,48,41,1,1,1,1,1,1,7,5,3,3,4,4,3,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1394,997,597,597,997,997,30098,21489,11767,11767,24530,21000,208,234,4,4,4,203
"88","!(G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00294653,0.00957835,0.0181924,0.0227833,0.988179,1.02536,4,3,3,3,3,3,7,6,6,6,6,6,39,24,24,24,24,24,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,799,599,599,599,599,599,20397,12568,12568,12568,12568,12568,4,2,2,2,2,2
"89","!(G(((p0) & (!(p1))) -> ((!(p2)) W ((p1) | (p3)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00418204,0.0116217,0.0186044,0.0227098,0.960939,0.99736,4,3,3,3,3,3,8,7,7,7,7,7,69,48,48,48,48,48,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,787,587,587,587,587,587,17764,12159,12159,12159,12159,12159,21,2,2,2,2,2
"90","!(G(((p0) & (!(p1))) -> ((!(p2)) W (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00331751,0.00968293,0.0177609,0.0203382,1.1264,0.983963,4,3,3,3,3,3,8,7,7,7,7,7,37,24,24,24,24,24,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,800,600,600,600,600,600,19410,12585,12585,12585,12585,12585,6,2,2,2,2,2
"91","!(G(((p0) & (!(p1))) -> (((p2) -> ((!(p1)) U ((!(p1)) & (p3)))) W (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00597421,0.0236855,0.0205329,0.0272032,1.39364,1.15305,8,6,4,4,7,6,15,11,8,8,25,16,131,92,54,54,140,100,1,1,1,1,1,1,8,6,4,4,4,4,4,3,2,2,3,2,1,1,1,1,1,1,0,0,0,0,0,0,1600,1200,800,800,1400,1200,34710,24349,14300,14300,37021,26409,207,244,8,8,18,203
"92","!(G(((p0) & (!(p1))) -> ((p2) W (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00304699,0.0109175,0.0194132,0.0215107,1.01115,1.17194,4,3,3,3,3,3,8,7,7,7,7,7,37,24,24,24,24,24,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,799,599,599,599,599,599,19500,12661,12661,12661,12661,12661,5,2,2,2,2,2
"93","!(G(((p0) & (F(p1))) -> ((!((!(p1)) & (p2) & (X((!(p1)) U ((!(p1)) & (p3)))))) U ((p1) | (p4)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.010064,0.0273993,0.019501,0.0244541,1.13514,1.17293,6,5,5,5,6,5,12,12,12,12,17,12,194,160,160,160,192,160,1,1,1,1,1,1,6,3,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1196,981,981,981,1169,981,25304,20528,20528,20528,24460,20528,13,3,3,3,3,3
"94","!(G(((p0) & (F(p1))) -> ((!(p2)) U ((p1) | ((!(p2)) & (p3) & (X((!(p2)) U (p4))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00965339,0.0300595,0.02195,0.0252592,1.29497,1.74,6,5,5,5,10,9,14,15,15,15,30,27,192,160,160,160,250,231,1,1,1,1,1,1,6,3,3,3,7,6,2,0,0,0,3,3,1,0,0,0,1,1,0,1,1,1,0,0,1173,972,972,972,1952,1767,25075,20567,20567,20567,32075,29736,44,3,3,3,205,20
"95","!(G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1))))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00387661,0.0213799,0.0209938,0.0244007,1.44569,1.46696,9,8,8,8,8,8,18,21,21,21,21,21,62,64,64,64,64,64,1,1,1,1,1,1,9,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1798,1598,1598,1598,1598,1598,31868,33072,33072,33072,33072,33072,14,3,3,3,3,3
"96","!(G(((p0) & (F(p1))) -> ((((p2) & (X((!(p1)) U (p3)))) -> (X((!(p1)) U ((p3) & (F(p4)))))) U (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0165894,0.0184939,0.0220459,0.0340306,1.24833,1.38183,6,6,5,5,24,8,13,12,11,11,124,35,148,116,100,100,708,232,1,1,1,1,1,1,6,6,5,5,13,3,3,2,2,2,8,1,1,1,1,1,1,1,0,0,0,0,0,0,1199,1198,999,999,4657,1576,18563,14561,12587,12587,86613,29005,8,249,50,50,1171,4
"97","!(G(((p0) & (F(p1))) -> (((p2) -> ((!(p1)) U ((!(p1)) & (p3) & (!(p4)) & (X(((!(p1)) & (!(p4))) U (p5)))))) U (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0400246,0.0555151,0.0233878,0.0293459,1.37183,1.29679,6,5,5,5,23,11,16,17,17,17,105,38,424,320,320,320,1372,642,1,1,1,1,1,1,5,2,2,2,15,6,3,0,0,0,4,4,1,0,0,0,1,1,0,1,1,1,0,0,1191,987,987,987,4312,2169,27265,20519,20519,20519,83852,40805,7,2,2,2,1018,11
"98","!(G(((p0) & (F(p1))) -> (((p2) -> ((!(p1)) U ((!(p1)) & (p3) & (X((!(p1)) U (p4)))))) U (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0101614,0.0260507,0.0211209,0.025979,1.34599,1.32894,6,5,5,5,23,9,15,17,17,17,99,30,212,160,160,160,708,280,1,1,1,1,1,1,6,2,2,2,16,5,3,0,0,0,4,4,1,0,0,0,1,1,0,1,1,1,0,0,1198,997,997,997,4510,1797,27619,20813,20813,20813,90741,36467,15,2,2,2,988,11
"99","!(G(((p0) & (X(!(p0)))) -> (X((!(p0)) U ((!(p0)) & (!(p1)) & (X((!(p0)) & (p1) & ((!(p0)) U ((!(p0)) & (!(p1)) & (X((!(p0)) & (p1) & ((!(p0)) U ((!(p0)) & (!(p1)) & (X((!(p0)) & (p1))))))))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0233325,0.035623,0.0231971,0.0306808,1.42713,1.39157,70,22,9,9,105,25,242,67,22,22,358,79,335,100,35,35,490,112,1,1,1,1,1,1,51,13,9,9,81,7,10,7,1,1,8,7,1,1,1,1,1,1,0,0,0,0,0,0,14000,4400,1800,1800,21000,5000,345978,103089,36062,36062,504958,115466,2279,420,217,217,4130,405
"100","!(G(((p0) & (X(!(p0)))) -> (X((!(p0)) U ((!(p0)) & (!(p1)) & (X((!(p0)) & (p1) & ((!(p0)) U ((!(p0)) & (!(p1)) & (X((!(p0)) & (p1))))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00747855,0.0246329,0.0228014,0.0266541,1.35618,1.27774,28,14,7,7,41,16,94,40,16,16,140,47,137,64,27,27,196,70,1,1,1,1,1,1,22,10,7,7,30,6,8,5,1,1,6,5,1,1,1,1,1,1,0,0,0,0,0,0,5549,2781,1390,1390,8124,3176,141907,66304,27976,27976,202493,72356,1020,414,210,210,1622,404
"101","!(G(((p0) & (X(F(p1)))) -> (X(F((p1) & (F(p2)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00329505,0.0107934,0.0214131,0.0237557,1.12924,1.07512,4,4,3,3,7,5,7,6,5,5,29,16,30,24,20,20,68,38,1,1,1,1,1,1,4,4,3,3,4,2,2,1,1,1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,800,798,600,600,1398,999,16064,12774,10651,10651,36121,20148,4,203,5,5,204,2
"102","!(G(((p0) & (p1) & (!(p2)) & (!(p3)) & (!(p4))) -> (F((p5) & (!(p6)) & (!(p7)) & (!(p8))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,1.1249,1.28619,0.0163563,0.0394314,1.16393,1.16357,3,3,2,2,4,4,5,4,3,3,11,9,1967,1487,1007,1007,3008,2063,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,600,493,400,400,800,800,16311,10189,8345,8345,24970,17115,3,95,2,2,3,202
"103","!(G(((p0) & (p1) & (!(p2)) & (X(p2))) -> (X((X(!(p1))) | ((p2) U ((!(p2)) U ((p2) U ((!(p1)) | (p3)))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0219552,0.0342472,0.0236089,0.0309638,1.43558,1.52,28,19,6,6,43,7,65,40,10,10,177,20,190,126,48,48,676,102,1,1,1,1,1,1,19,13,6,6,32,3,5,4,1,1,5,1,1,1,1,1,1,1,0,0,0,0,0,0,5189,3521,1139,1139,7846,1337,46644,30538,12124,12124,162268,24885,960,665,257,257,2304,6
"104","!(G(((p0) & (p1) & (!(p2)) & (X(p2))) -> (X((p3) | (X((!(p1)) | (p3)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.006713,0.0411154,0.018783,0.0338112,1.16473,1.07278,5,4,4,4,4,4,7,9,9,9,9,9,74,64,64,64,64,64,1,1,1,1,1,1,5,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,983,783,783,783,783,783,19255,16389,16389,16389,16389,16389,386,2,2,2,2,2
"105","!(G(((p0) & (p1)) -> ((!(p1)) R ((p0) | (!(p1))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00300091,0.00948083,0.0195665,0.0222973,1.02176,0.959474,4,3,3,3,3,3,7,6,6,6,6,6,19,12,12,12,12,12,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,799,599,599,599,599,599,20227,12759,12759,12759,12759,12759,7,2,2,2,2,2
"106","!(G(((p0) & (p1)) -> ((p2) | (!((p3) & (p4))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00802581,0.0237077,0.0182136,0.0227236,0.98509,1.07694,3,2,2,2,2,2,5,3,3,3,3,3,128,64,64,64,64,64,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16424,8212,8212,8212,8212,8212,3,2,2,2,2,2
"107","!(G(((p0) & (p1)) -> ((p2) | (p3) | (!((p4) & (p5))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0274894,0.0431116,0.020386,0.0257707,0.989666,1.207,3,2,2,2,2,2,5,3,3,3,3,3,256,128,128,128,128,128,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16448,8224,8224,8224,8224,8224,3,2,2,2,2,2
"108","!(G(((p0) & (p1)) -> ((p2) | (p3) | (p4) | (!((p5) & (p6))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.093559,0.100695,0.0211792,0.0268256,1.31878,1.28515,3,2,2,2,2,2,5,3,3,3,3,3,512,256,256,256,256,256,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16808,8404,8404,8404,8404,8404,3,2,2,2,2,2
"109","!(G(((p0) & (p1)) -> ((p2) | (p3) | (p4) | (p5) | (!((p6) & (p7))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.309337,0.308689,0.0161576,0.0246895,1.08215,0.99025,3,2,2,2,2,2,5,3,3,3,3,3,1024,512,512,512,512,512,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16804,8402,8402,8402,8402,8402,3,2,2,2,2,2
"110","!(G(((p0) -> (!(p1))) & ((p1) -> (!(p0)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00288254,0.00956222,0.0183311,0.0234508,1.09159,1.01532,3,2,2,2,2,2,5,3,3,3,3,3,16,8,8,8,8,8,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16420,8210,8210,8210,8210,8210,3,2,2,2,2,2
"111","!(G(((p0) -> (F(!(p0)))) & ((!(p0)) -> (F(p0)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00335852,0.00906828,0.0181867,0.0208184,0.921985,0.940216,5,5,3,3,3,3,9,7,5,5,5,5,10,8,6,6,8,8,1,1,1,1,1,1,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1000,1000,600,600,600,600,21150,16920,12690,12690,16920,16920,5,403,3,3,3,3
